time,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020
06/01/2017 00:00:00,97776.42793,97936.447544,95875.580984,92879.769111,88891.671943,85092.746204,80099.610029,74831.848519,69966.949442,64463.057842,63225.803145,65140.744024,67582.129188,68874.799655,72663.980441,78487.28042,83473.765801,87941.909795,91611.167787,94925.336198
06/02/2017 00:00:00,97761.163666,97920.701738,95863.552715,92872.96291,88893.914202,85086.307646,80099.602022,74831.841012,69971.625509,64478.230839,63229.771983,65129.763191,67577.53457,68873.369112,72661.484844,78487.474275,83477.815853,87945.850769,91611.260416,94916.580275
06/03/2017 00:00:00,97745.89955,97904.978853,95851.529311,92866.156962,88896.132687,85079.923442,80099.593167,74831.814614,69976.272195,64493.375526,63233.825363,65118.823875,67572.954542,68871.931772,72658.987514,78487.669295,83481.867909,87949.79045,91611.340054,94907.800867
06/04/2017 00:00:00,97730.635581,97889.279015,95839.510775,92859.351267,88898.327391,85073.593375,80099.583462,74831.769199,69980.889389,64508.491884,63237.962933,65107.92611,67568.389112,68870.487632,72656.488455,78487.86547,83485.921968,87953.728835,91611.406672,94898.997971
06/05/2017 00:00:00,97715.371761,97873.60235,95827.497111,92852.545826,88900.498308,85067.317229,80099.572907,74831.704642,69985.476979,64523.57989,63242.184339,65097.069932,67563.838284,68869.03669,72653.987668,78488.062789,83489.978031,87957.665921,91611.460243,94890.171584
06/06/2017 00:00:00,97700.108088,97857.948985,95815.48832,92845.89274,88902.645428,85061.09479,80099.561502,74831.620814,69990.034853,64538.639525,63246.489233,65086.255375,67559.302065,68867.578943,72651.485157,78488.261244,83494.036097,87961.601704,91611.500738,94881.321702
06/07/2017 00:00:00,97684.844563,97842.319049,95803.484408,92839.700455,88904.768745,85054.925845,80099.549245,74831.517587,69994.562899,64553.670768,63250.877266,65075.482475,67554.780463,68866.11439,72648.980923,78488.460825,83498.096166,87965.536182,91611.528127,94872.448322
06/08/2017 00:00:00,97669.581185,97826.687927,95791.485377,92833.501241,88906.868251,85048.810183,80099.536137,74831.394832,69999.061005,64568.673597,63255.348092,65064.751268,67550.273483,68864.643027,72646.690022,78488.661522,83502.158238,87969.469352,91611.542382,94863.551441
06/09/2017 00:00:00,97654.317956,97811.062658,95779.49123,92827.295099,88908.943939,85042.747592,80099.522176,74831.252419,70003.529058,64583.647993,63259.901368,65054.061788,67545.781131,68863.164852,72644.83008,78488.863324,83506.222312,87973.40121,91611.543474,94854.631056
06/10/2017 00:00:00,97639.054874,97795.452161,95767.47785,92821.082032,88910.995801,85036.737865,80099.507363,74831.090216,70007.966944,64598.593934,63264.536751,65043.414071,67541.303415,68861.679863,72642.960486,78489.066224,83510.288388,87977.327642,91611.531374,94845.687163
