,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020
0,96161.50697733334,96306.48710033332,94576.38646833332,91836.61615033333,88422.748035,84507.25434333333,79940.291433,75044.96049233334,69768.73877533335,68073.63643966668,66162.40943533333,65576.27856233333,65755.20559066666,68005.74064799999,72322.94250433333,78521.040103,83916.48819066667,88400.19676266667,91661.76502266666,93880.497029
1,96168.97249800002,96314.84493800001,94586.48436633334,91845.41660833334,88428.87524566667,84509.39444266667,79940.46851566667,75044.922213,69771.03226966667,68097.67088433333,66193.99368433333,65603.87897900002,65756.78995366667,67994.175435,72318.45207833334,78521.449708,83920.41515100001,88408.21731600001,91670.81024833334,93887.801368
2,96176.43803533334,96323.20186000002,94596.58313233334,91854.20658533333,88435.003147,84511.53485533333,79940.64604133334,75044.87708433333,69773.27789566666,68121.69531033334,66225.51310933333,65631.56540133334,65758.577217,67982.69743066667,72314.01111233333,78521.86405933334,83924.38129833333,88416.24239633333,91679.86319300001,93895.10582866667
3,96183.90359,96331.55787033333,94606.68276266666,91862.98136266666,88441.13173900002,84513.67558166666,79940.82400866666,75044.82515166666,69775.475754,68145.709723,66256.967231,65659.33796000002,65760.56719166668,67971.30670933334,72309.681352,78522.283197,83928.38742333332,88424.27200433332,91688.92386866668,93902.41041066666
4,96191.369162,96339.91297266667,94616.78325366667,91871.74062933335,88447.26102133332,84515.81662133333,79941.00241700001,75044.76646,69777.625946,68169.71412833333,66288.35199166667,65687.19678633334,65762.83226333333,67960.00334733333,72305.45920133333,78522.70873966666,83932.39773099999,88432.30614100001,91697.99228633333,93909.71511433333
5,96198.83475133333,96348.26717033332,94626.884602,91880.49656366667,88453.390994,84517.95797433333,79941.18126566666,75044.701054,69779.72857233333,68193.708532,66319.64526,65715.14201133334,65765.43370566667,67948.787421,72301.28955333332,78523.15041300001,83936.40704166667,88440.344807,91707.06845800001,93917.01993933333
6,96206.30035766668,96356.620467,94636.98680433334,91889.25357333334,88459.521657,84520.09964066667,79941.36055366666,75044.62897833333,69781.78373433334,68217.69294,66350.84742,65743.17376633335,65768.36617433334,67937.62767566666,72297.10710899999,78523.60859566666,83940.41535033332,88448.38800333334,91716.15239533334,93924.32488533335
7,96213.76598099999,96364.97286566666,94647.08985733334,91898.01165833334,88465.65301,84522.24162066665,79941.54028,75044.550277,69783.79153266667,68241.667358,66381.95885333333,65771.34497933334,65771.55180200002,67926.48396433333,72292.91192366666,78524.08209366667,83944.42265133333,88456.43573066666,91725.24411033333,93931.62995266666
8,96221.23162166668,96373.32437033333,94657.19375699999,91906.77081766666,88471.78505299999,84524.38391399999,79941.72044366667,75044.46499333333,69785.75206833334,68265.63179199999,66412.979939,65799.69951100001,65774.92388633334,67915.35876766666,72288.70405266667,78524.56161233333,83948.42893966667,88464.48799,91734.34361433335,93938.93514133334
9,96228.69727966667,96381.674984,94667.29850033333,91915.531051,88477.91778566665,84526.52652066667,79941.901044,75044.37482166667,69787.66544200001,68289.58624766667,66443.91105466666,65828.23536433333,65778.48239466666,67904.285892,72284.48355133332,78525.04721,83952.43420999999,88472.544782,91743.45091933334,93946.24045166666
10,96236.16295466667,96390.02471066666,94677.404084,91924.29235733334,88484.051208,84528.66944066666,79942.08208000001,75044.31663700001,69789.531754,68313.53073066667,66474.75257533333,65856.89770100001,65782.28592733333,67893.30802966666,72280.25047466667,78525.53894566667,83956.43845733334,88480.60610733333,91752.56603733334,93953.54588300001
11,96243.62864666666,96398.37355333334,94687.51050466667,91933.05473666666,88490.18532,84530.81267433333,79942.26355033333,75044.29099233334,69791.351105,68337.46524666666,66505.50487433333,65885.64070533334,65786.340576,67882.42523899999,72276.00487833332,78526.03687833333,83960.44167633333,88488.67196666666,91761.68897999999,93960.85143566667
